date,confirmed,deaths,recovered,new_confirmed,new_deaths,new_recovered,new_confirmed_smooth,new_deaths_smooth,new_recovered_smooth
2020-10-08,87640,1619,79674,627,3,551,518.4285714285714,4.285714285714286,487.85714285714283
2020-10-09,88243,1625,80140,603,6,466,518.2857142857143,4.285714285714286,497.2857142857143
2020-10-10,88921,1628,80798,678,3,658,518.0,3.857142857142857,506.0
2020-10-11,89357,1630,81266,436,2,468,524.5714285714286,4.428571428571429,493.2857142857143
2020-10-12,89635,1634,81552,278,4,286,536.1428571428571,4.428571428571429,514.0
2020-10-13,90133,1638,82063,498,4,511,541.2857142857143,5.714285714285714,534.5714285714286
2020-10-14,90685,1647,82576,552,9,513,533.4285714285714,6.142857142857143,523.2857142857143
2020-10-15,91393,1650,83272,708,3,696,532.5714285714286,6.428571428571429,456.42857142857144
2020-10-16,92032,1665,83882,639,15,610,538.0,6.142857142857143,536.8571428571429
2020-10-17,92655,1671,84461,623,6,579,535.5714285714286,6.0,543.4285714285714
2020-10-18,93085,1675,84461,430,4,0,544.5714285714286,5.714285714285714,550.4285714285714
2020-10-19,93401,1677,85310,316,2,849,531.4285714285714,6.857142857142857,535.7142857142857
2020-10-20,93882,1680,85867,481,3,557,546.5714285714286,6.428571428571429,531.1428571428571
2020-10-21,94497,1687,86429,615,7,562,561.2857142857143,6.142857142857143,525.2857142857143
2020-10-22,95113,1698,87022,616,11,593,570.2857142857143,6.428571428571429,592.7142857142857
2020-10-23,95858,1710,87600,745,12,578,583.7142857142857,7.285714285714286,531.5714285714286
2020-10-24,96584,1714,88138,726,4,538,607.2857142857143,7.571428571428571,514.0
2020-10-25,97077,1720,88610,493,6,472,623.8571428571429,7.285714285714286,527.0
2020-10-26,97487,1728,89031,410,8,421,651.2857142857143,7.142857142857143,514.5714285714286
2020-10-27,98133,1733,89465,646,5,434,655.4285714285714,6.571428571428571,512.0
2020-10-28,98864,1738,90118,731,5,653,677.0,8.0,435.14285714285717
2020-10-29,99672,1748,90624,808,10,506,694.1428571428571,8.0,722.7142857142857
2020-10-30,100446,1756,91184,774,8,560,705.1428571428571,8.571428571428571,723.0
2020-10-31,101323,1770,89765,877,14,0,736.4285714285714,8.857142857142858,726.7142857142857
2020-11-01,101936,1776,92250,613,6,2485,721.1428571428571,8.714285714285714,695.0
2020-11-02,102423,1788,92673,487,12,423,755.4285714285714,8.571428571428571,738.7142857142857
2020-11-03,103288,1795,93133,865,7,460,808.1428571428571,8.0,749.2857142857143
2020-11-04,103912,1799,93564,624,4,431,873.2857142857143,6.714285714285714,848.2857142857143
2020-11-05,104960,1808,94376,1048,9,812,921.4285714285714,6.857142857142857,597.1428571428571
2020-11-06,106103,1812,95010,1143,4,634,963.2857142857143,6.857142857142857,573.0
2020-11-07,107436,1817,95703,1333,5,693,1023.0,8.0,764.8571428571429
2020-11-08,108386,1824,96430,950,7,727,1154.4285714285713,9.142857142857142,703.2857142857143
2020-11-09,109166,1836,96684,780,12,254,1241.7142857142858,9.285714285714286,726.8571428571429
2020-11-10,110449,1851,98487,1283,15,1803,1321.857142857143,10.428571428571429,767.0
2020-11-11,111993,1863,98305,1544,12,0,1379.2857142857142,10.142857142857142,805.8571428571429
2020-11-12,113652,1873,99282,1659,10,977,1449.142857142857,10.142857142857142,702.0
2020-11-13,115356,1885,100197,1704,12,915,1473.4285714285713,10.0,2216.5714285714284
2020-11-14,117091,1888,101162,1735,3,965,1533.0,9.857142857142858,2097.285714285714
2020-11-15,118530,1895,91954,1439,7,0,1625.857142857143,10.142857142857142,2248.5714285714284
2020-11-16,119480,1906,102810,950,11,10856,1729.5714285714287,11.714285714285714,2285.714285714286
2020-11-17,121180,1920,103778,1700,14,968,1832.0,12.0,2361.714285714286
2020-11-18,123374,1934,104837,2194,14,1059,1954.4285714285713,13.285714285714286,2432.4285714285716
2020-11-19,125759,1955,106074,2385,21,1237,2057.285714285714,13.285714285714286,2617.0
2020-11-20,128180,1969,107521,2421,14,1447,2138.4285714285716,12.857142857142858,1219.0
2020-11-21,130772,1981,108981,2592,12,1460,2071.1428571428573,13.571428571428571,1229.5714285714287
2020-11-22,132931,1988,110273,2159,7,1292,2035.142857142857,14.571428571428571,1390.2857142857142
2020-11-23,134449,1996,111343,1518,8,1070,2051.5714285714284,15.714285714285714,1449.7142857142858
2020-11-24,135678,2015,112385,1229,19,1042,2067.285714285714,18.142857142857142,1455.4285714285713
2020-11-25,137620,2036,114569,1942,21,2184,2079.1428571428573,18.428571428571427,1588.857142857143
2020-11-26,140120,2065,116222,2500,29,1653,2065.285714285714,19.714285714285715,1637.4285714285713
2020-11-27,142651,2096,117709,2531,31,1487,2053.5714285714284,22.285714285714285,2278.0
2020-11-28,145326,2110,120103,2675,14,2394,2168.4285714285716,25.428571428571427,2129.1428571428573
2020-11-29,147388,2126,121735,2062,16,1632,2238.4285714285716,27.0,2080.5714285714284
2020-11-30,148824,2152,127289,1436,26,5554,2240.8571428571427,28.0,2121.1428571428573
2020-12-01,150857,2193,125304,2033,41,0,2229.5714285714284,30.0,2185.1428571428573
2020-12-02,153289,2225,127148,2432,32,1844,2205.714285714286,31.142857142857142,2167.0
2020-12-03,155806,2261,129085,2517,36,1937,2202.285714285714,33.285714285714285,2195.8571428571427
2020-12-04,158258,2306,131020,2452,45,1935,2215.8571428571427,35.142857142857146,1634.7142857142858
2020-12-05,160766,2328,133287,2508,22,2267,2236.285714285714,36.0,1933.4285714285713
2020-12-06,162804,2359,135121,2038,31,1834,2290.285714285714,37.42857142857143,1902.5714285714287
2020-12-07,164335,2398,136747,1531,39,1626,2354.8571428571427,36.0,1966.4285714285713
2020-12-08,166511,2445,138838,2176,47,2091,2403.8571428571427,35.42857142857143,1976.857142857143
2020-12-09,169321,2487,140466,2810,42,1628,2479.4285714285716,36.285714285714285,2011.5714285714287
2020-12-10,172290,2513,142850,2969,26,2384,2528.714285714286,34.714285714285715,2001.2857142857142
2020-12-11,175085,2554,144858,2795,41,2008,2550.1428571428573,35.857142857142854,2006.2857142857142
2020-12-12,178122,2582,147368,3037,28,2510,2585.8571428571427,36.714285714285715,2075.0
2020-12-13,180505,2602,149130,2383,20,1762,2612.4285714285716,38.285714285714285,2132.1428571428573
2020-12-14,182186,2649,150791,1681,47,1661,2646.714285714286,40.0,2183.0
2020-12-15,184612,2702,153363,2426,53,2572,2652.714285714286,41.0,2253.1428571428573
2020-12-16,187608,2755,155391,2996,53,2028,2645.8571428571427,42.714285714285715,2254.8571428571427
2020-12-17,190817,2793,158131,3209,38,2740,2661.285714285714,45.0,2292.4285714285716
2020-12-18,193654,2841,160630,2837,48,2499,2679.8571428571427,45.142857142857146,2366.5714285714284
2020-12-19,196643,2881,163152,2989,40,2522,2718.1428571428573,44.42857142857143,2260.4285714285716
2020-12-20,199134,2917,165177,2491,36,2025,2758.1428571428573,44.857142857142854,2366.8571428571427
2020-12-21,200945,2965,167357,1811,48,2180,2834.8571428571427,47.142857142857146,2370.285714285714
2020-12-22,203639,3013,169186,2694,48,1829,2977.0,49.42857142857143,2429.5714285714284
2020-12-23,206915,3069,171959,3276,56,2773,3105.0,50.42857142857143,2411.4285714285716
2020-12-24,210661,3123,174723,3746,54,2764,3169.714285714286,51.0,2466.1428571428573
2020-12-25,214493,3187,177637,3832,64,2914,3253.4285714285716,51.42857142857143,2449.8571428571427
2020-12-26,218378,3234,180032,3885,47,2395,3386.714285714286,53.0,2514.8571428571427
2020-12-27,221322,3274,182440,2944,40,2408,3471.714285714286,53.42857142857143,2478.714285714286
2020-12-28,223719,3325,184506,2397,51,2066,3584.0,52.714285714285715,2367.4285714285716
2020-12-29,227346,3384,186790,3627,59,2284,3501.714285714286,50.57142857142857,2274.4285714285716
2020-12-30,231217,3443,189310,3871,59,2520,3385.4285714285716,48.285714285714285,2318.8571428571427
2020-12-31,235749,3492,191295,4532,49,1985,3417.1428571428573,51.142857142857146,2270.0
2021-01-01,239005,3541,193558,3256,49,2263,3552.285714285714,50.714285714285715,2287.714285714286
2021-01-02,242076,3572,196264,3071,31,2706,3741.1428571428573,53.142857142857146,2353.5714285714284
2021-01-03,245242,3632,198330,3166,60,2066,4052.285714285714,54.0,2510.4285714285716
2021-01-04,248585,3680,200520,3343,48,2190,4496.571428571428,56.142857142857146,2714.285714285714
2021-01-05,253534,3756,203265,4949,76,2745,5168.142857142857,60.285714285714285,2860.4285714285716
2021-01-06,259583,3821,206883,6049,65,3618,5851.428571428572,64.28571428571429,2992.714285714286
2021-01-07,267225,3885,210295,7642,64,3412,6271.714285714285,62.142857142857146,3150.0
2021-01-08,275182,3963,213581,7957,78,3286,6495.0,62.142857142857146,3183.8571428571427
2021-01-09,283036,4022,217213,7854,59,3632,6444.714285714285,60.42857142857143,3139.285714285714
2021-01-10,289144,4067,220380,6108,45,3167,6425.857142857143,65.0,3147.714285714286
2021-01-11,294050,4115,222807,4906,48,2427,6285.0,65.28571428571429,3316.285714285714
2021-01-12,298647,4179,225240,4597,64,2433,6173.0,65.28571428571429,3532.8571428571427
2021-01-13,304564,4276,228917,5917,97,3677,6057.0,64.85714285714286,3800.5714285714284
