date,actual_confirmed,predicted_confirmed,actual_recovered,predicted_recovered,actual_deaths,predicted_deaths
2022-12-22,164276.0,121304.53,0.0,-350.42004,286.57142857142856,386.72647
2022-12-23,165181.0,123845.664,0.0,-348.90543,291.85714285714283,406.71802
2022-12-24,167648.57142857142,126275.5,0.0,-348.8453,297.57142857142856,426.88098
2022-12-25,168973.7142857143,128796.03,0.0,-349.91574,314.57142857142856,447.4013
2022-12-26,170072.0,131335.1,0.0,-351.0819,326.1428571428572,468.38373
2022-12-27,166564.57142857142,133889.03,0.0,-351.03967,327.7142857142857,489.7355
2022-12-28,156542.14285714287,136170.31,0.0,-355.23227,321.0,510.13278
2022-12-29,147579.14285714287,137385.95,0.0,-369.3526,312.57142857142856,526.8739
2022-12-30,147437.42857142858,137292.11,0.0,-398.1183,311.2857142857143,537.6742
2022-12-31,131374.7142857143,136366.06,0.0,-422.46957,304.42857142857144,544.2547
2023-01-01,115386.85714285716,133948.72,0.0,-450.76526,276.2857142857143,544.7357
2023-01-02,120364.14285714287,129422.516,0.0,-487.29846,264.0,535.70807
2023-01-03,134186.7142857143,124352.41,0.0,-511.24066,282.57142857142856,520.10474
2023-01-04,152928.0,120606.76,0.0,-498.79877,307.0,504.94492
2023-01-05,167730.0,119325.73,0.0,-445.49887,329.85714285714283,495.0582
2023-01-06,170450.57142857142,120462.02,0.0,-374.5637,348.1428571428572,491.99603
2023-01-07,168604.57142857142,123060.59,0.0,-322.2231,352.42857142857144,493.51337
2023-01-08,182114.42857142855,125967.22,0.0,-285.34036,375.7142857142857,500.0698
2023-01-09,176195.57142857142,130449.266,0.0,-264.0724,397.8571428571428,513.65393
2023-01-10,161700.57142857142,134808.42,0.0,-264.78815,401.2857142857143,531.4477
2023-01-11,146474.42857142858,137082.95,0.0,-293.56885,407.0,544.5365
2023-01-12,134723.42857142858,138104.27,0.0,-334.41183,408.1428571428572,557.4071
2023-01-13,128876.28571428574,138282.44,0.0,-381.83246,400.7142857142857,571.27484
2023-01-14,135707.2857142857,137717.62,0.0,-427.91556,415.57142857142856,584.8331
2023-01-15,125169.42857142857,137183.5,0.0,-466.11856,425.2857142857143,596.8189
2023-01-16,112443.71428571428,136994.19,0.0,-502.81305,419.8571428571428,614.56696
2023-01-17,103663.28571428572,136030.06,0.0,-559.14514,412.0,631.5131
2023-01-18,96075.14285714286,133259.56,0.0,-619.8717,397.0,638.4924
2023-01-19,89813.57142857143,128965.37,0.0,-665.42633,384.2857142857143,633.3486
2023-01-20,86698.28571428571,123063.07,0.0,-684.66895,379.8571428571428,614.0652
2023-01-21,81984.28571428571,116502.78,0.0,-673.7323,372.7142857142857,585.27277
2023-01-22,75448.0,109703.63,0.0,-639.1511,361.1428571428572,550.94415
2023-01-23,70232.71428571429,102895.56,0.0,-592.7273,355.2857142857143,515.50006
2023-01-24,66132.28571428571,96236.86,0.0,-524.20135,343.57142857142856,476.75052
2023-01-25,62679.142857142855,90147.27,0.0,-461.73233,335.0,441.07474
2023-01-26,59861.85714285715,84748.29,0.0,-409.70493,324.2857142857143,410.0344
2023-01-27,58269.714285714275,79784.67,0.0,-366.29004,317.57142857142856,382.2244
2023-01-28,51600.71428571428,75147.28,0.0,-327.91116,308.85714285714283,356.4197
2023-01-29,48198.28571428572,70596.28,0.0,-298.57538,300.2857142857143,331.56113
2023-01-30,46114.57142857143,66176.586,0.0,-268.82785,298.42857142857144,306.70047
2023-01-31,44116.42857142857,62214.14,0.0,-240.36041,283.2857142857143,284.84668
2023-02-01,41802.0,58606.41,0.0,-215.24284,271.57142857142856,265.6169
2023-02-02,40049.142857142855,55221.69,0.0,-194.6719,262.57142857142856,248.10085
2023-02-03,39218.57142857143,52056.887,0.0,-175.93636,250.8571428571429,232.06607
2023-02-04,38881.0,49092.57,0.0,-158.18102,238.7142857142857,217.1472
2023-02-05,36887.71428571428,46409.22,0.0,-140.59947,223.28571428571425,203.4132
2023-02-06,35126.28571428572,43862.27,0.0,-124.27572,198.42857142857144,190.51926
2023-02-07,33510.71428571428,41296.95,0.0,-111.23832,192.0,178.02876
2023-02-08,31909.285714285714,38870.17,0.0,-99.60516,181.28571428571428,166.52898
2023-02-09,29235.14285714286,36530.48,0.0,-90.20407,174.0,155.85135
2023-02-10,28351.0,34305.605,0.0,-81.03652,169.57142857142858,146.14902
2023-02-11,26538.85714285714,32233.34,0.0,-71.35516,165.85714285714286,137.46605
2023-02-12,24708.571428571428,30325.98,0.0,-61.361534,167.71428571428572,129.7289
2023-02-13,23048.285714285717,28645.484,0.0,-51.152447,160.42857142857142,123.28738
2023-02-14,21618.42857142857,27127.248,0.0,-41.932217,153.14285714285714,117.68176
2023-02-15,20154.571428571428,25718.426,0.0,-33.887432,145.85714285714286,112.56276
2023-02-16,20225.85714285714,24370.654,0.0,-27.474792,141.57142857142858,107.889755
2023-02-17,19882.571428571428,23148.967,0.0,-21.481379,135.57142857142858,103.703384
2023-02-18,18074.0,21997.014,0.0,-16.41405,126.57142857142856,99.7877
2023-02-19,16628.571428571428,20845.137,0.0,-12.482169,112.42857142857143,95.96786
2023-02-20,15749.428571428569,19605.383,0.0,-10.6198635,106.14285714285714,91.93983
2023-02-21,14021.714285714286,18294.7,0.0,-9.665321,97.85714285714286,87.81041
2023-02-22,13696.285714285714,16952.277,0.0,-10.154287,89.57142857142857,83.66069
2023-02-23,13433.42857142857,15611.775,0.0,-10.160331,83.14285714285714,79.43657
2023-02-24,13192.0,14357.276,0.0,-9.152966,83.28571428571429,75.343605
2023-02-25,12532.285714285714,13237.707,0.0,-6.441263,82.57142857142857,71.59747
2023-02-26,11860.285714285714,12256.294,0.0,-2.0687897,80.42857142857143,68.28013
2023-02-27,11333.57142857143,11421.516,0.0,2.8007872,74.57142857142857,65.349754
2023-02-28,11906.42857142857,10676.768,0.0,7.68564,72.28571428571429,62.622223
2023-03-01,11275.714285714286,10053.318,0.0,12.417355,73.57142857142857,60.186066
2023-03-02,10751.714285714286,9535.816,0.0,17.315008,71.85714285714286,58.133137
2023-03-03,10599.285714285714,9103.978,0.0,21.891634,69.28571428571429,56.38209
2023-03-04,10224.142857142857,8743.822,0.0,26.034735,64.71428571428571,54.83503
2023-03-05,9917.714285714286,8396.656,0.0,29.340025,60.42857142857142,53.339233
2023-03-06,9678.857142857143,8057.6055,0.0,31.945059,59.42857142857143,51.83888
