无隔离,轻度隔离,严格隔离
1.3073626532486013e-06,0.00010811009716862816,0.7491358418476708
1.0171684939674653e-06,8.671946319598262e-05,0.6338394998178514
7.896915412409014e-07,6.956109315948507e-05,0.5362879338299662
6.153021424498707e-07,5.579758883201963e-05,0.4537501086829824
4.857030349472497e-07,4.475676450679087e-05,0.38391532038157383
3.8822709904463847e-07,3.590364786685117e-05,0.32482852348164465
3.063267605707381e-07,2.8802656942129903e-05,0.2748355250355844
2.4046674400935847e-07,2.3094785085809845e-05,0.23253674251725842
1.8775134246039927e-07,1.85287234272883e-05,0.1967479743875193
1.470601598588029e-07,1.4889489659670367e-05,0.16646731876588505
1.1532460019251779e-07,1.1930465934121903e-05,0.14084705637074613
9.080149964338014e-08,9.564838916922507e-06,0.11916985656981949
7.195564233500722e-08,7.671771465076546e-06,0.10082892227149434
5.7456790356340225e-08,6.153505924364842e-06,0.08531076418311508
4.567128725477606e-08,4.9358827226089365e-06,0.07218094033178533
3.688611538856726e-08,3.959344549665391e-06,0.061071873062803275
2.9496391173828324e-08,3.1761994948201594e-06,0.051672552953748854
2.3687908481620972e-08,2.547478311215424e-06,0.043719852930653655
1.906170883842996e-08,2.043508905985929e-06,0.036991115628782795
1.479694687573068e-08,1.6391039704359718e-06,0.031297969897949744
