date,S,E,I,Q,R,predicted_new
2020-08-16,56012128.257286094,5.703983782184518e-06,7.024751254462196e-06,19.20326798503359,69987852.53943338,3.95155288452191e-06
2020-08-17,56012128.257282525,4.636398707126133e-06,5.710291902488782e-06,17.37583637672386,69987854.36687092,3.2120920139031957e-06
2020-08-18,56012128.25727962,3.7688184620154174e-06,4.6414445722656054e-06,15.722307706594428,69987856.02040444,2.6109068586942917e-06
2020-08-19,56012128.257277265,3.0631070630209148e-06,3.7735429522003202e-06,14.226133144215373,69987857.51658294,2.1224981761631336e-06
2020-08-20,56012128.25727535,2.4883034765133234e-06,3.070154516061301e-06,12.872337798391314,69987858.87038147,1.726096251843021e-06
2020-08-21,56012128.257273786,2.0234010282059627e-06,2.4941798341005874e-06,11.647373371648992,69987860.0953485,1.4026558551302425e-06
2020-08-22,56012128.25727251,1.6460310098532478e-06,2.0250218897112995e-06,10.538979513090757,69987861.20374447,1.1394616844997687e-06
2020-08-23,56012128.25727148,1.3329223244119401e-06,1.6552890855607531e-06,9.536063278863502,69987862.2066624,9.289012332804396e-07
2020-08-24,56012128.25727064,1.0923287755702524e-06,1.329329679787372e-06,8.628587083112027,69987863.11414002,7.503601018472928e-07
2020-08-25,56012128.25726996,8.948224273272715e-07,1.0679128520668214e-06,7.807468625280615,69987863.93525963,6.062608994358725e-07
2020-08-26,56012128.25726941,7.282843705270895e-07,8.663679402106694e-07,7.0644898869589845,69987864.67823927,4.923106497852168e-07
2020-08-27,56012128.257268965,5.838144075272005e-07,7.191605774879897e-07,6.392214900906052,69987865.350515,4.045147017161173e-07
2020-08-28,56012128.25726859,4.742851134039801e-07,5.850666832308996e-07,5.783915317347273,69987865.9588152,3.289549242959452e-07
2020-08-29,56012128.257268295,3.859415781834378e-07,4.748116641360439e-07,5.2335030635772695,69987866.50922795,2.671708315581908e-07
2020-08-30,56012128.257268056,3.1362207998005936e-07,3.8612037195951743e-07,4.735469447633862,69987867.00726195,2.172195991501262e-07
2020-08-31,56012128.25726786,2.548918468183014e-07,3.139268955113919e-07,4.284829973387696,69987867.45790176,1.7658736387606642e-07
