date,S,E,I,R,predicted_new
2022-06-14,95985883.24838863,3.7247067315636565e-09,4.5827007035199e-09,30014116.75161127,3.141961247788354e-09
2022-06-15,95985883.24838863,3.821038448008625e-09,4.701222640692911e-09,30014116.751611266,3.2232214822445078e-09
2022-06-16,95985883.24838863,3.912999460171614e-09,4.814367073167903e-09,30014116.751611266,3.3007948271427204e-09
2022-06-17,95985883.24838863,3.999264130422569e-09,4.920502999793718e-09,30014116.751611263,3.373563046153899e-09
2022-06-18,95985883.24838863,4.07843966402756e-09,5.017916792521982e-09,30014116.751611263,3.4403512528367406e-09
2022-06-19,95985883.24838865,4.149063738814077e-09,5.1048092800603296e-09,30014116.751611263,3.499925911151155e-09
2022-06-20,95985883.24838865,4.209602134836307e-09,5.179292831525641e-09,30014116.75161126,3.550992835971689e-09
2022-06-21,95985883.24838865,4.258446364040422e-09,5.239388440097272e-09,30014116.75161126,3.592195193600956e-09
2022-06-22,95985883.24838865,4.2939112999298635e-09,5.283022806670286e-09,30014116.75161126,3.6221115022830616e-09
2022-06-23,95985883.24838865,4.314232807230626e-09,5.308025423508683e-09,30014116.75161126,3.639253632717023e-09
2022-06-24,95985883.24838865,4.317565371556542e-09,5.3121256578986345e-09,30014116.75161126,3.6420648085702008e-09
2022-06-25,95985883.24838865,4.301979729074567e-09,5.292949835801716e-09,30014116.75161126,3.6289176069917243e-09
2022-06-26,95985883.24838865,4.265460496170066e-09,5.2480183255081335e-09,30014116.75161126,3.598111959125913e-09
2022-06-27,95985883.24838865,4.205903799112096e-09,5.17474262128996e-09,30014116.75161126,3.5478731506257057e-09
2022-06-28,95985883.24838865,4.1211149037186884e-09,5.070422427054366e-09,30014116.751611263,3.4763498221660844e-09
2022-06-29,95985883.24838863,4.008805845022142e-09,4.9322427399968515e-09,30014116.751611263,3.3816119699575017e-09
2022-06-30,95985883.24838863,3.866593056934298e-09,4.757270934254475e-09,30014116.751611266,3.2616489462593055e-09
2022-07-01,95985883.24838863,3.6919950019118304e-09,4.542453844559089e-09,30014116.75161127,3.114367459893163e-09
2022-07-02,95985883.24838863,3.5755777632672597e-09,4.3992196515325605e-09,30014116.75161127,3.0161641704001517e-09
2022-07-03,95985883.24838863,3.4988031738510504e-09,4.304759880176862e-09,30014116.751611274,2.9514012805071695e-09
2022-07-04,95985883.24838863,3.4146678119665873e-09,4.201243766661399e-09,30014116.751611274,2.8804292406055827e-09
2022-07-05,95985883.24838863,3.323547330462627e-09,4.089133496191914e-09,30014116.751611274,2.8035649310896595e-09
2022-07-06,95985883.24838863,3.225882610532e-09,3.968971507801436e-09,30014116.751611277,2.721180255457212e-09
2022-07-07,95985883.24838863,3.1221814498475706e-09,3.841382571351884e-09,30014116.751611277,2.6337035643298346e-09
2022-07-08,95985883.24838863,3.0130202506982017e-09,3.7070758645356593e-09,30014116.75161128,2.541621079473137e-09
2022-07-09,95985883.24838862,2.8990457081247174e-09,3.5668470498772454e-09,30014116.75161128,2.445478317816976e-09
2022-07-10,95985883.24838862,2.780976498055863e-09,3.4215803517348014e-09,30014116.751611285,2.3458815154756938e-09
2022-07-11,95985883.24838862,2.6596049654442707e-09,3.272250633301762e-09,30014116.751611285,2.243499051768347e-09
2022-07-12,95985883.24838862,2.53579881240242e-09,3.119925473608434e-09,30014116.75161129,2.1390628732389477e-09
2022-07-13,95985883.24838862,2.4105027863386005e-09,2.9657672445235897e-09,30014116.751611292,2.033369917676689e-09
2022-07-14,95985883.24838862,2.2847403680928763e-09,2.81103518775607e-09,30014116.751611292,1.927283538136188e-09
2022-07-15,95985883.24838862,2.1596154600730443e-09,2.6570874918563746e-09,30014116.751611296,1.8217349269577121e-09
2022-07-16,95985883.24838862,2.0363140743906016e-09,2.5053833692182637e-09,30014116.751611296,1.7177245397874199e-09
2022-07-17,95985883.2483886,1.9161060209967046e-09,2.3574851330803523e-09,30014116.7516113,1.6163235195975899e-09
2022-07-18,95985883.2483886,1.800346595818133e-09,2.215060274527708e-09,30014116.7516113,1.5186751207068585e-09
2022-07-19,95985883.2483886,1.6904782688932527e-09,2.079883539493448e-09,30014116.751611304,1.4259961328004524e-09
2022-07-20,95985883.2483886,1.588032372507976e-09,1.9538390057603353e-09,30014116.751611304,1.339578304950423e-09
2022-07-21,95985883.2483886,1.4946307893317268e-09,1.8389221599623763e-09,30014116.751611307,1.2607897696358802e-09
2022-07-22,95985883.2483886,1.3885108758141327e-09,1.7083572912412559e-09,30014116.75161131,1.1712727393115471e-09
2022-07-23,95985883.2483886,1.2500637329847253e-09,1.5380185525991202e-09,30014116.751611315,1.0544862087402484e-09
2022-07-24,95985883.24838859,1.1125196043210415e-09,1.3687908391502558e-09,30014116.751611315,9.384614119867164e-10
2022-07-25,95985883.24838859,9.765226654681303e-10,1.2014667138242462e-09,30014116.75161132,8.237417408568515e-10
2022-07-26,95985883.24838859,8.427429777531016e-10,1.0368705880612978e-09,30014116.75161132,7.108924229238553e-10
2022-07-27,95985883.24838859,7.118764716820482e-10,8.75858701507867e-10,30014116.751611322,6.005005076072811e-10
2022-07-28,95985883.24838859,5.846449304369741e-10,7.193191017122865e-10,30014116.751611326,4.931748522520807e-10
2022-07-29,95985883.24838859,4.617959733727169e-10,5.681716238203941e-10,30014116.751611326,3.895461082076551e-10
2022-07-30,95985883.24838859,3.4410303951387565e-10,4.233678702711631e-10,30014116.75161133,2.9026670690690564e-10
2022-07-31,95985883.24838859,2.3236537105173362e-10,2.858911904923276e-10,30014116.75161133,1.960108459452813e-10
2022-08-01,95985883.24838857,1.2740799684118404e-10,1.5675666059601123e-10,30014116.751611333,1.0747447515982862e-10
2022-08-02,95985883.24838857,3.0081715897655524e-11,3.7011063074356464e-11,30014116.751611333,2.537528270824232e-11
2022-08-03,95985883.24838857,-5.87369191059628e-11,-7.226713350484804e-11,30014116.751611337,0.0
2022-08-04,95985883.24838857,-1.3814561834239704e-10,-1.6996779480253992e-10,30014116.751611337,0.0
2022-08-05,95985883.24838857,-2.0721637133306276e-10,-2.549491410127537e-10,30014116.751611337,0.0
2022-08-06,95985883.24838857,-2.6499546345113995e-10,-3.260377671669937e-10,30014116.75161134,0.0
2022-08-07,95985883.24838857,-3.1050349242464846e-10,-3.820286634386055e-10,30014116.75161134,0.0
2022-08-08,95985883.24838857,-3.427353848395224e-10,-4.2168523544714793e-10,30014116.75161134,0.0
2022-08-09,95985883.24838857,-3.606604126426853e-10,-4.4373932456276474e-10,30014116.75161134,0.0
